Pricing is Per SQ,,,XACTIMATE,R&R,R&R,R&R,R&R,R&R,,COMPONENT>,Remove,Remove,Remove ,Remove,Install,R&R,R&R,R&R,,DUMP / PERMIT >,Per Area,Per Area
STATE,CITY/AREA,USA REGION,ZIP,LAMINATE AR,STANDING SEAM,CONCRETE TILE,CLAY TILE(Barrel),MOD BIT,COATING,,"Wood Shake:Tear off, Haul, and Dispose","Add. Layer Felt:Tear off, Haul, and Dispose","Layer of Shingles & Felt:Tear off, Haul, and Dispose",Layer of Metal: No haul off,"Sheathing 1/2"" OSB+Clips",STEEP 7/12-9/12,STEEP 10/12-12/12,TWO STORY,BASIC PER SQ AVE,,Additional Disposal Fees - 30YD Dumpster,Additional Permit Fees
,Lubbock,South,79401,511.51,"1,483.63","1,059.88","1,367.94",611.51,648.99,,59.46,6.98,32.94,49.00,237.96,25.00,50.00,20.00,,,570.00,
Utah,Salt Lake City,West,84101,541.48,"1,586.58","1,115.47","1,349.44",641.48,715.11,,66.78,7.98,35.93,58.00,243.42,25.00,50.00,20.00,,,610.00,
*Same as Salt Lake City,West Jordan,West,84088,541.48,"1,586.58","1,115.47","1,349.44",641.48,715.11,,66.78,7.98,35.93,58.00,243.42,25.00,50.00,20.00,,,610.00,
Vermont,Montpelier,Northeast,05602,549.13,"1,601.51","1,149.62","1,603.60",649.13,684.83,,85.02,8.74,57.77,55.00,235.36,25.00,50.00,20.00,,,"1,258.53",
Virginia,Virginia Beach,South,23454,470.61,"1,326.70",964.79,"1,334.61",570.61,623.42,,72.66,8.22,42.41,56.00,214.02,25.00,50.00,20.00,,,532.63,
,Alexandria,South,22302,552.22,"1,642.08","1,134.12","1,588.37",652.22,740.68,,71.87,8.14,41.91,56.00,269.50,25.00,50.00,20.00,,,668.00,
Washington,Seattle,West,98121,750.00,"2,499.60","1,812.47","2,012.93",850.00,932.29,,136.67,13.72,86.61,92.61,406.83,25.00,50.00,20.00,,,"1,533.58",
,Spokane,West,99201,615.00,"1,623.87","1,204.63","1,400.24",715.00,708.07,,90.33,10.08,53.78,67.58,253.97,25.00,50.00,20.00,,,937.40,
West Virginia ,Charleston,South,25301,527.04,"1,549.50","1,074.33","1,448.43",627.04,673.23,,60.33,6.93,34.45,48.00,240.78,25.00,50.00,20.00,,,950.00,
Wisconsin,Green Bay,Midwest,54301,494.57,"1,489.12","1,061.82","1,473.93",594.57,648.58,,72.45,8.42,40.73,59.00,223.58,25.00,50.00,20.00,,,644.00,
Wyoming,Cheyenne,West,82009,524.60,"1,442.49","1,044.34","1,274.21",624.60,615.40,,73.99,8.49,42.28,59.00,226.36,25.00,50.00,20.00,,,591.51,
,,,ZIP,,,,,,,,,,,,,,,,,,,
,,,Per SQ Avg>,R&R,R&R,R&R,R&R,R&R,,COMPONENTS>,Remove,Remove,Remove ,Remove,Install,R&R,R&R,R&R,,DUMP / PERMIT >,Per Area,Per Area
,,,XM8,LAMINATE AR,STANDING SEAM,CONCRETE TILE,CLAY TILE(Barrel),MOD BIT,,,"Wood Shake:Tear off, Haul, and Dispose","Add. Layer Felt:Tear off, Haul, and Dispose","Layer of Shingles & Felt:Tear off, Haul, and Dispose",Layer of Metal: No haul off,"Sheathing 1/2"" OSB+Clips",STEEP 7/12-9/12,STEEP 10/12-12/12,TWO STORY,,,Additional Disposal Fees - 30YD Dumpster,Additional Permit Fees
